paper,setting,run_name,metric,published,source,ours,diff,status
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_fedavg_s0,std_pct,6.89,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fedavg_s10,acc_normal_pct,57.47,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fedavg_s10,acc_selfish_pct,34.6,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fedavg_s10,std_pct,15.85,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fedavg_s20,acc_normal_pct,42.85,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fedavg_s20,acc_selfish_pct,60.9,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fedavg_s20,std_pct,19.34,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fedavg_s30,acc_normal_pct,43.6,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fedavg_s30,acc_selfish_pct,49.97,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fedavg_s30,std_pct,18.99,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_qffl_s0,acc_normal_pct,60.44,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_qffl_s0,std_pct,6.7,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_qffl_s10,acc_normal_pct,51.49,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_qffl_s10,acc_selfish_pct,74.6,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_qffl_s10,std_pct,17.83,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_qffl_s20,acc_normal_pct,56.58,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_qffl_s20,acc_selfish_pct,63.4,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_qffl_s20,std_pct,9.55,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_qffl_s30,acc_normal_pct,59.23,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_qffl_s30,acc_selfish_pct,62.93,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_qffl_s30,std_pct,8.54,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_dqffl_s0,acc_normal_pct,60.36,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_dqffl_s0,std_pct,6.61,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_dqffl_s10,acc_normal_pct,53.93,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_dqffl_s10,acc_selfish_pct,73.4,Table III p.329,,,NOT RUN
